Experiement,Stimulus Range,Stim Duration,Stim Delay,Initial Vm,gLeak,gNa,gKHT,gKLT,gIH,gKA,ELeak,EK,ENa,cam,kam,cbm,kbm,Folder
all_fitted_params_sweep_16_12172022_P9_iMNTB_220pA_S2C2,-0.1 to 0.34 nA,300 ms,210 ms,-75 mV,4.6,256.72,217.42,25.38,13.54,25.31,-80.91,-106.81 mV,62.77 mV,85.04,0.04,7.69,-0.03,simulation_all_fitted_params_sweep_16_12172022_P9_iMNTB_220pA_S2C2
all_fitted_params_sweep_14_08122022_P9_MNTB_180pA_S2C1,-0.1 to 0.34 nA,300 ms,210 ms,-75 mV,6.81,217.01,220.51,19.05,12.0,60.95,-73.57,-106.81 mV,62.77 mV,62.24,0.04,7.12,-0.03,simulation_all_fitted_params_sweep_14_08122022_P9_MNTB_180pA_S2C1
all_fitted_params_sweep_17_08122022_P9_MNTB_240pA_S1C2,-0.1 to 0.34 nA,300 ms,210 ms,-75 mV,8.67,236.99,263.65,38.59,7.15,40.28,-74.93,-106.81 mV,62.77 mV,95.46,0.03,6.7,-0.04,simulation_all_fitted_params_sweep_17_08122022_P9_MNTB_240pA_S1C2
all_fitted_params_sweep_13_02072024_P9_iMNTB_160pA_S3C3,-0.1 to 0.34 nA,300 ms,210 ms,-75 mV,5.95,207.5,166.07,48.83,4.55,30.56,-74.97,-106.81 mV,62.77 mV,88.75,0.04,5.6,-0.04,simulation_all_fitted_params_sweep_13_02072024_P9_iMNTB_160pA_S3C3
all_fitted_params_sweep_16_08122022_P9_iMNTB_220pA_S1C3,-0.1 to 0.34 nA,300 ms,210 ms,-75 mV,4.74,207.72,273.41,34.79,11.78,75.22,-75.65,-106.81 mV,62.77 mV,96.57,0.04,7.8,-0.03,simulation_all_fitted_params_sweep_16_08122022_P9_iMNTB_220pA_S1C3
