Time (ms),Signal (mV)
0.0,-70.04741227303735
0.02,-70.10998253857825
0.04,-70.23512306966005
0.06000000000000001,-70.1412676713487
0.08,-69.953556874726
0.1,-70.04741227303735
0.12000000000000002,-70.10998253857825
0.14,-69.953556874726
0.16,-69.79713121087374
0.18000000000000002,-70.0161271402669
0.2,-70.1412676713487
0.22,-69.98484200749645
0.24000000000000005,-69.79713121087374
0.26,-69.85970147641466
0.28,-70.0786974058078
0.30000000000000004,-70.0786974058078
0.32,-70.0161271402669
0.34,-69.98484200749645
0.36000000000000004,-70.0161271402669
0.38,-69.92227174195554
0.4,-69.98484200749645
0.42000000000000004,-70.10998253857825
0.44,-70.10998253857825
0.46,-69.953556874726
0.4800000000000001,-69.82841634364421
0.5,-69.98484200749645
0.52,-70.04741227303735
0.54,-70.0161271402669
0.56,-69.85970147641466
0.58,-69.89098660918509
0.6000000000000001,-70.0786974058078
0.62,-70.17255280411915
0.64,-70.0786974058078
0.6600000000000001,-69.953556874726
0.68,-69.85970147641466
0.7000000000000001,-70.0161271402669
0.7200000000000001,-70.0786974058078
0.7400000000000001,-69.89098660918509
0.76,-69.92227174195554
0.7800000000000001,-70.10998253857825
0.8,-70.10998253857825
0.8200000000000001,-69.98484200749645
0.8400000000000001,-69.73456094533286
0.8600000000000001,-69.82841634364421
0.88,-70.04741227303735
0.9000000000000001,-70.2038379368896
0.92,-70.0161271402669
0.9400000000000001,-69.7032758125624
0.9600000000000002,-69.7658460781033
0.9800000000000002,-70.0161271402669
1.0,-70.0161271402669
1.02,-69.953556874726
1.04,-69.89098660918509
1.0600000000000003,-69.85970147641466
1.08,-69.89098660918509
1.1,-70.04741227303735
1.12,-70.0161271402669
1.1400000000000001,-69.92227174195554
1.16,-69.89098660918509
1.1800000000000002,-70.26640820243051
1.2000000000000002,-70.1412676713487
1.2200000000000002,-69.98484200749645
1.24,-69.82841634364421
1.26,-70.0161271402669
1.28,-70.10998253857825
1.3000000000000003,-70.04741227303735
1.3200000000000003,-70.0161271402669
1.34,-69.98484200749645
1.36,-69.98484200749645
1.3800000000000001,-70.0161271402669
1.4000000000000001,-70.0786974058078
1.42,-69.98484200749645
1.4400000000000002,-70.04741227303735
1.4600000000000002,-70.0161271402669
1.4800000000000002,-70.10998253857825
1.5,-69.98484200749645
1.52,-69.89098660918509
1.54,-70.04741227303735
1.5600000000000003,-70.0161271402669
1.58,-70.0161271402669
1.6,-70.0786974058078
1.62,-70.10998253857825
1.6400000000000001,-70.1412676713487
1.6600000000000001,-70.2038379368896
1.6800000000000002,-70.0161271402669
1.7000000000000002,-69.85970147641466
1.7200000000000002,-69.953556874726
1.7400000000000002,-70.0786974058078
1.76,-70.0786974058078
1.78,-70.0161271402669
1.8000000000000003,-69.953556874726
1.8200000000000003,-69.953556874726
1.84,-69.89098660918509
1.86,-69.85970147641466
1.8800000000000001,-70.04741227303735
1.9000000000000001,-70.0161271402669
1.9200000000000004,-69.92227174195554
1.9400000000000002,-69.85970147641466
1.9600000000000004,-69.953556874726
1.98,-69.92227174195554
2.0,-69.953556874726
2.02,-69.92227174195554
2.04,-69.953556874726
2.06,-69.953556874726
2.08,-69.89098660918509
2.1,-70.0161271402669
2.1200000000000006,-70.0161271402669
2.14,-69.85970147641466
2.16,-69.92227174195554
2.18,-69.953556874726
2.2,-69.89098660918509
2.22,-69.89098660918509
2.24,-69.92227174195554
2.2600000000000002,-69.92227174195554
2.2800000000000002,-69.89098660918509
2.3000000000000003,-69.953556874726
2.32,-70.0161271402669
2.34,-69.89098660918509
2.3600000000000003,-69.82841634364421
2.3800000000000003,-69.82841634364421
2.4000000000000004,-70.0161271402669
2.4200000000000004,-69.98484200749645
2.4400000000000004,-69.82841634364421
2.4600000000000004,-69.89098660918509
2.48,-69.98484200749645
2.5,-70.0161271402669
2.52,-69.85970147641466
2.54,-69.98484200749645
2.56,-69.89098660918509
2.58,-69.89098660918509
2.6000000000000005,-69.85970147641466
2.6200000000000006,-69.98484200749645
2.6400000000000006,-69.953556874726
2.66,-69.89098660918509
2.68,-69.89098660918509
2.7,-69.953556874726
2.72,-69.92227174195554
2.74,-69.85970147641466
2.7600000000000002,-69.953556874726
2.7800000000000002,-70.0161271402669
2.8000000000000003,-69.89098660918509
2.82,-69.82841634364421
2.84,-69.953556874726
2.8600000000000003,-69.953556874726
2.8800000000000003,-69.85970147641466
2.9000000000000004,-69.82841634364421
2.9200000000000004,-69.82841634364421
2.9400000000000004,-69.89098660918509
2.9600000000000004,-69.85970147641466
2.9800000000000004,-69.92227174195554
3.0,-69.85970147641466
3.02,-69.92227174195554
3.04,-69.98484200749645
3.06,-70.0161271402669
3.08,-69.98484200749645
3.1000000000000005,-69.85970147641466
3.1200000000000006,-69.82841634364421
3.1400000000000006,-69.89098660918509
3.16,-69.85970147641466
3.18,-69.98484200749645
3.2,-69.98484200749645
3.22,-69.85970147641466
3.24,-69.92227174195554
3.2600000000000002,-69.98484200749645
3.2800000000000002,-70.0161271402669
3.3000000000000003,-69.953556874726
3.3200000000000003,-69.82841634364421
3.3400000000000003,-69.85970147641466
3.3600000000000003,-69.98484200749645
3.3800000000000003,-69.98484200749645
3.4000000000000004,-69.85970147641466
3.4200000000000004,-69.92227174195554
3.4400000000000004,-69.953556874726
3.4600000000000004,-70.04741227303735
3.4800000000000004,-69.79713121087374
3.5,-69.7658460781033
3.52,-69.7658460781033
3.54,-69.89098660918509
3.56,-70.0786974058078
3.58,-69.92227174195554
3.6000000000000005,-69.89098660918509
3.6200000000000006,-69.82841634364421
3.6400000000000006,-69.7658460781033
3.6600000000000006,-69.953556874726
3.68,-70.10998253857825
3.7,-69.85970147641466
3.72,-69.7658460781033
3.74,-69.89098660918509
3.7600000000000002,-69.98484200749645
3.7800000000000002,-70.0161271402669
3.8000000000000003,-69.98484200749645
3.8200000000000003,-69.7658460781033
3.8400000000000007,-69.85970147641466
