Mid_Current_nA,InputResistance_GOhm
-0.09,0.112
-0.07,0.132
-0.05,0.159
-0.03,0.195
-0.01,0.236
0.01,0.28
0.03,0.455
0.05,0.038
0.07,0.081
0.09,0.104
0.11,0.072
0.13,0.099
0.15000000000000002,0.123
0.16999999999999998,0.122
0.19,0.124
0.21000000000000002,0.188
0.22999999999999998,0.031
0.25,0.029
0.27,0.028
0.29000000000000004,0.027
0.31,0.026
0.33,0.025
