Time (ms),Signal (mV)
0.0,-72.20608643419838
0.02,-72.20608643419838
0.04,-72.11223103588705
0.06000000000000001,-72.3937972308211
0.08,-72.36251209805064
0.1,-72.11223103588705
0.12000000000000002,-72.23737156696885
0.14,-72.2686566997393
0.16,-72.17480130142795
0.18000000000000002,-72.20608643419838
0.2,-72.1435161686575
0.22,-72.20608643419838
0.24000000000000005,-72.1435161686575
0.26,-72.20608643419838
0.28,-72.04966077034615
0.30000000000000004,-72.2686566997393
0.32,-72.11223103588705
0.34,-72.11223103588705
0.36000000000000004,-72.08094590311659
0.38,-72.1435161686575
0.4,-72.2686566997393
0.42000000000000004,-72.17480130142795
0.44,-72.11223103588705
0.46,-72.11223103588705
0.4800000000000001,-72.20608643419838
0.5,-72.20608643419838
0.52,-72.0183756375757
0.54,-72.1435161686575
0.56,-72.17480130142795
0.58,-72.1435161686575
0.6000000000000001,-72.11223103588705
0.62,-72.2686566997393
0.64,-72.04966077034615
0.6600000000000001,-72.11223103588705
0.68,-72.04966077034615
0.7000000000000001,-72.17480130142795
0.7200000000000001,-72.1435161686575
0.7400000000000001,-72.17480130142795
0.76,-72.1435161686575
0.7800000000000001,-72.23737156696885
0.8,-72.23737156696885
0.8200000000000001,-72.04966077034615
0.8400000000000001,-72.2686566997393
0.8600000000000001,-72.20608643419838
0.88,-72.08094590311659
0.9000000000000001,-72.2686566997393
0.92,-72.2686566997393
0.9400000000000001,-72.08094590311659
0.9600000000000002,-72.20608643419838
0.9800000000000002,-72.23737156696885
1.0,-72.20608643419838
1.02,-72.17480130142795
1.04,-72.23737156696885
1.0600000000000003,-72.2686566997393
1.08,-72.36251209805064
1.1,-72.08094590311659
1.12,-72.23737156696885
1.1400000000000001,-72.3312269652802
1.16,-72.23737156696885
1.1800000000000002,-72.2686566997393
1.2000000000000002,-72.08094590311659
1.2200000000000002,-72.20608643419838
1.24,-72.20608643419838
1.26,-72.17480130142795
1.28,-72.23737156696885
1.3000000000000003,-72.20608643419838
1.3200000000000003,-72.23737156696885
1.34,-72.23737156696885
1.36,-72.17480130142795
1.3800000000000001,-72.1435161686575
1.4000000000000001,-72.2686566997393
1.42,-72.23737156696885
1.4400000000000002,-72.20608643419838
1.4600000000000002,-72.23737156696885
1.4800000000000002,-72.3312269652802
1.5,-72.23737156696885
1.52,-72.20608643419838
1.54,-72.3312269652802
1.5600000000000003,-72.1435161686575
1.58,-72.11223103588705
1.6,-72.2686566997393
1.62,-72.08094590311659
1.6400000000000001,-72.1435161686575
1.6600000000000001,-72.2686566997393
1.6800000000000002,-72.08094590311659
1.7000000000000002,-72.1435161686575
1.7200000000000002,-72.23737156696885
1.7400000000000002,-72.23737156696885
1.76,-72.20608643419838
1.78,-72.2686566997393
1.8000000000000003,-72.2686566997393
1.8200000000000003,-72.23737156696885
1.84,-72.20608643419838
1.86,-72.42508236359154
1.8800000000000001,-72.2686566997393
1.9000000000000001,-72.20608643419838
1.9200000000000004,-72.20608643419838
1.9400000000000002,-72.29994183250975
1.9600000000000004,-72.20608643419838
1.98,-72.20608643419838
2.0,-72.23737156696885
2.02,-72.29994183250975
2.04,-72.29994183250975
2.06,-72.0183756375757
2.08,-72.23737156696885
2.1,-72.3937972308211
2.1200000000000006,-72.23737156696885
2.14,-72.11223103588705
2.16,-72.23737156696885
2.18,-72.20608643419838
2.2,-72.20608643419838
2.22,-72.11223103588705
2.24,-72.23737156696885
2.2600000000000002,-72.3312269652802
2.2800000000000002,-72.11223103588705
2.3000000000000003,-72.04966077034615
2.32,-72.20608643419838
