Stimulus,SteadyState (nA or mV),Peak (nA or mV)
-100,-88.62168342207495,-88.56821087314368
-80,-86.00104047637234,-85.90897458765545
-60,-83.35057654211292,-83.03074237277407
-40,-80.38694842882131,-80.30893582174492
-20,-77.28465209303796,-77.02399688084769
0,-74.15601367546188,-73.70777280717999
20,-70.77345260626774,-69.6407055470215
40,-67.62153804991046,-66.13677067673112
60,-65.12936437341641,-63.97809651557007
80,-62.95164382342472,-60.19259545034563
100,-61.2655628778941,-60.25516571588653
120,-59.8461939462581,-58.15906182026638
140,-58.543280792846836,-57.47078889931648
160,-57.296780990847246,-56.09424305741669
180,-56.10337831618567,-54.561271551664646
200,-55.09408239085162,-53.2160108425353
220,-54.224806205745,-52.8405892492899
240,-53.21228165470905,-49.14894358237681
260,-52.34923746805032,-48.42938552865646
280,-51.3338346847995,-49.49308004285176
300,-52.734720359994704,3.50393487029039
320,-49.79566984700755,-47.897538271558815
340,-50.1569505602407,0.09385539831134973
360,-49.42654282247557,0.4692769915567487
380,-49.616155755170716,-0.40670672601584884
