Stimulus,SteadyState (nA or mV),Peak (nA or mV)
-100,-86.35428716751005,-76.08544289773418
-80,-84.17997043996375,-75.14688891462067
-60,-78.65895791943139,-73.73905793995043
-40,-79.33765758975353,-71.54909864601895
-20,-75.97081417126324,-72.20608643419838
0,-71.3287261707839,-70.26640820243051
20,-67.33730636166435,-65.47978288855167
40,-63.74032950651466,-62.851831735833876
60,-61.39194230023359,-60.81829810575463
80,-59.26736893379234,-59.222756334461685
100,-57.95639673017943,-57.50207403208694
120,-56.07246860500846,-56.03167279187579
140,-54.90759797143351,-54.43613102058285
160,-53.42324356200675,-51.05733668137426
180,-52.165080662510356,-51.05733668137426
200,-51.02505042435516,2.377670090554193
220,-49.81193811604819,3.6603605341426393
240,-48.40260545500495,4.442488853403887
260,-47.83684511398413,3.848071330765339
280,-46.23373234056076,4.911765844960636
300,-45.88696792893308,5.099476641583335
320,-45.0177418000389,6.131886023008183
340,-43.83015816007262,5.756464429762784
360,-43.496971496067324,5.8503198280741335
380,-42.5920177455493,6.257026554089982
