Stimulus,SteadyState (nA or mV),Peak (nA or mV)
-100,-84.16151221162919,-75.30331457847294
-80,-82.59512818407832,-74.05190926765493
-60,-79.89597206917499,-73.23849581562324
-40,-77.4577339615772,-72.2686566997393
-20,-73.39798742248699,-71.5178135132485
0,-71.05767178046072,-70.29769333520095
20,-66.44943429363897,-65.4484977557812
40,-63.20748112516836,-61.631711557786325
60,-60.07953098051321,-59.03504553783898
80,-57.77519324117297,-56.90765650944839
100,-55.553197971284526,-54.99926341045094
120,-53.96510206159093,-53.3411513736171
140,-52.17196339171985,-51.245047477996955
160,-49.31594362110547,7.258150802744379
180,-48.57623794188094,6.97658460781033
200,-47.57386228791573,7.852568325382928
220,-45.94127891942259,8.728552042955526
240,-44.89992199002539,9.072688503430474
260,-43.694443254114404,8.947547972348675
280,-42.93427709805801,9.698391158839472
300,-41.591832050878004,9.260399300053175
320,-40.43766093271057,9.917387088232623
340,-40.53351857951924,9.510680362216773
360,-39.5591118342508,9.76096142438037
380,-39.15878727532012,10.66823027472342
