Stimulus,SteadyState (nA or mV),Peak (nA or mV)
-100,-85.49307003260509,-76.1480131632751
-80,-83.59856753255774,-75.45974024232518
-60,-81.51310058207955,-74.36476059535944
-40,-78.34491775668161,-73.86419847103224
-20,-76.38202595639805,-72.8317890896074
0,-72.50830081676092,-71.92452023926435
20,-68.46131861184108,-66.48090713720606
40,-64.17606883574148,-61.037294035147774
60,-61.14785569435853,-59.03504553783898
80,-58.84301739289396,-56.87637137667794
100,-56.50614311547244,-55.4685404020077
120,-54.74416443784069,-53.622717568551145
140,-53.891269148252675,-52.15231632834
160,-51.82538669088881,-50.80705561921065
180,-51.10839401805564,-49.524365175622215
200,-50.328330517557234,9.823531689921271
220,-48.95647744557299,10.230238415937121
240,-47.762449068256004,10.824655938575669
260,-46.77627911306589,11.419073461214218
280,-45.71571311214764,11.106222133509718
300,-45.36425593060441,11.356503195673318
320,-44.733797935014294,11.137507266280167
340,-43.523876710249915,12.576623373720864
360,-42.97407178694203,12.013490983852765
380,-42.21747213602146,12.451482842639065
