Stimulus,SteadyState (nA or mV),Peak (nA or mV)
-100,-86.35535086202425,-85.59612325995096
-80,-83.48367601097152,-82.09218838966056
-60,-80.75826541264723,-79.90222909572907
-40,-76.02731512104668,-74.55247139198214
-20,-72.3750261511588,-69.0150028916125
0,-66.96243538675571,-65.57363828686302
20,-58.02240836032506,-57.940065890873235
40,-60.2343173034083,8.947547972348675
60,-58.28834450292699,9.448110096675872
80,-54.83834520153287,10.48051947810072
100,-52.74319237394894,10.32409381424847
120,-51.17667069181386,10.54308974364162
140,-49.72810647427649,10.011242486543972
160,-47.775626366178926,9.135258768971374
180,-46.496402315301445,8.947547972348675
200,-44.971477345697956,8.165419653087426
220,-43.698097357622,7.915138590923828
240,-42.474310562013756,2.7218065510291423
260,-40.501269864659456,2.6592362854882428
280,-37.96550974118962,1.032409381424847
300,-36.94843007482229,-0.28156619493404916
320,-36.64576518634785,-1.407830974670246
340,-36.543174978966995,-0.344136460474949
360,-36.35044604704791,-1.5642566385224954
380,-35.8460295943634,-3.097228144274541
