Stimulus,SteadyState (nA or mV),Peak (nA or mV)
-100,-80.07104367215842,-75.74130643725924
-80,-77.59416216856258,-77.02399688084769
-60,-75.01007277198896,-74.89660785245708
-40,-72.54424117728763,-71.67423917710074
-20,-69.92388605480652,-69.327854219317
0,-67.27791466561293,-66.51219226997651
20,-64.23190654071017,-63.19596819630882
40,-61.0810807069733,-60.56801704359103
60,-58.78702951928796,-57.971351023643685
80,-55.907145449396296,-54.09199456010789
100,-53.66850648887397,-52.55902305435585
120,-53.929249299436016,10.16766815039622
140,-53.44499298630877,13.609032755145712
160,-52.30500029031291,15.235859659209106
180,-51.24714983891913,14.923008331504606
200,-50.46412050783409,15.329715057520456
220,-49.74264780398819,12.889474701425364
240,-48.88355805811164,14.954293464275057
260,-47.277842361641746,10.26152354870757
280,-46.454780574663644,8.509556113562375
300,-45.72937845814177,8.665981777414625
320,-44.99491616716958,6.601163014564931
340,-43.818757857691075,6.444737350712682
360,-43.06514906546336,6.94529947503988
380,-41.79661201594027,6.72630354564673
