Stimulus,SteadyState (nA or mV),Peak (nA or mV)
-100,-83.61771403381324,-83.24973830216722
-90,-82.5911111730306,-82.27989918628327
-80,-81.42233615488593,-81.37263033594022
-70,-80.3947321698546,-80.18379529066313
-60,-79.34932068725035,-79.30781157309053
-50,-78.18602682436705,-77.93126573119073
-40,-77.12044268815242,-77.02399688084769
-30,-75.8013738921785,-75.49102537509563
-20,-74.18997681559748,-73.70777280717999
-10,-72.8298243832694,-72.2686566997393
0,-71.36334004168113,-70.6418297956759
10,-69.53851578934011,-68.85857722776026
20,-68.04000798584798,-66.98146926153325
30,-66.49279548765882,-65.01050589699491
40,-64.92045477082846,-63.28982359462017
50,-63.734710696669076,-61.06857916791822
60,-61.59474504490476,-59.47303739662528
70,-60.78783890048931,-58.56576854628223
80,-59.32121690431684,-56.657375447284785
90,-57.2021622352963,-54.99926341045094
100,-55.237756234586634,-53.24729597530575
110,-53.54115097039203,23.276138781214733
120,-52.15913648728396,25.028106216359927
130,-58.021569918766815,25.09067648190083
140,-57.755233326465415,24.996821083589477
150,-56.900148077583474,24.37111842818048
160,-55.72872008017986,25.215817012982626
170,-56.23188512755357,24.21469276432823
180,-55.71190119280247,24.120837366016882
190,-54.85172272430549,23.588990108919234
200,-53.827284794710565,23.432564445066983
210,-53.641826527647346,22.963287453510237
220,-52.90965430839395,22.650436125805737
230,-52.603397886677456,22.024733470396736
240,-52.18824417481358,21.18003488559459
250,-52.008379689489715,21.117464620053692
260,-50.98833419253575,20.52304709741514
270,-50.811535650223384,20.49176196464469
280,-50.59039981774874,20.022484973087945
290,-50.069715096023586,19.490637715990292
300,-49.14470131837314,19.083930989974444
310,-48.91110148900274,16.080558244011254
320,-48.8077729524885,15.142004260897757
330,-48.34321375895353,15.548710986913605
340,-47.99813874449547,14.735297534881907
