Stimulus,SteadyState (nA or mV),Peak (nA or mV)
-100,-81.36549732566857,-83.40616396601946
-80,-78.27719170126014,-80.24636555620403
-60,-75.97383005806233,-77.43070360686353
-40,-72.95813096978756,-71.79937970818256
-20,-68.8731936417906,-68.3893002362035
0,-64.94259213077682,-62.63283580644072
20,-60.795434930725975,-60.16131031757518
40,-57.19509179529017,-56.34452411958029
60,-53.63818493819286,-50.02492729994941
80,-50.230395537932615,-48.867377387442765
100,-47.33764702144573,18.051521608549596
120,-49.63846831186259,18.270517537942748
140,-50.070916445121966,18.52079860010635
160,-48.587838469112235,18.08280674132005
180,-46.99030696337509,17.51967435145195
200,-45.93584782037364,17.175537890977
220,-45.6737409780228,16.455979837256653
240,-44.75572255605982,15.736421783536306
260,-43.36929061220457,15.048148862586407
280,-42.62704458019909,14.735297534881907
300,-41.50190606524263,13.98445434839111
320,-40.965716431716444,12.420197709868614
340,-40.628124821017074,12.357627444327715
360,-39.526199874576285,11.137507266280167
380,-38.79933361384076,9.698391158839472
